"","LHS","RHS","support","confidence","coverage","lift","count"
"134","{300k}","{gpu}",0.00020901068276823,0.519230769230769,0.000402539092738814,26.190640675217,27
"185","{discrete}","{gpu}",0.000216751819167054,0.56,0.000387056819941167,28.2470909800859,28
"194","{aib}","{nvidia}",0.000178046137172937,0.522727272727273,0.000340610001548227,16.5180795232165,23
"207","{vii}","{radeon}",0.000588326366310574,0.723809523809524,0.000812819321876451,300.648598989435,76
"223","{integrate}","{graphic}",0.000441244774732931,0.508928571428571,0.000867007276668215,59.0156129776866,57
"260","{graphic}","{card}",0.0057361820715281,0.665170556552962,0.00862362594828921,27.3477824619706,741
"347","{discrete,gpu}","{intel}",0.000170305000774114,0.785714285714286,0.000216751819167054,22.0745044429255,22
"348","{discrete,intel}","{gpu}",0.000170305000774114,0.666666666666667,0.000255457501161171,33.627489262007,22
"364","{amd,vii}","{radeon}",0.000201269546369407,0.928571428571429,0.000216751819167054,385.700505282499,26
"394","{integrate,intel}","{graphic}",0.000216751819167054,0.651162790697674,0.000332868865149404,75.5091645442779,28
"406","{minecraft,shader}","{rtx}",0.000410280229137637,0.552083333333333,0.000743149094287041,37.1835896767466,53
"407","{rtx,shader}","{minecraft}",0.000410280229137637,0.630952380952381,0.000650255457501161,158.572818232351,53
"411","{look,shader}","{rtx}",0.000170305000774114,0.536585365853659,0.000317386592351757,36.139779750248,22
"520","{green,nvidia}","{amd}",0.000170305000774114,0.647058823529412,0.000263198637559994,16.4931055295046,22
"521","{amd,green}","{nvidia}",0.000170305000774114,0.511627906976744,0.000332868865149404,16.167341737587,22
"573","{navi,nvidia}","{big}",0.00020901068276823,0.551020408163265,0.000379315683542344,43.6156962785114,27
"574","{gpu,navi}","{amd}",0.000178046137172937,0.638888888888889,0.000278680910357641,16.2848592475664,23
"575","{navi,nvidia}","{amd}",0.0002322340919647,0.612244897959184,0.000379315683542344,15.6057213730007,30
"584","{nvidia,radeon}","{amd}",0.000224492955565877,0.591836734693878,0.000379315683542344,15.0855306605673,29
"589","{2060,gtx}","{rtx}",0.000170305000774114,0.666666666666667,0.000255457501161171,44.9009384775808,22
"590","{2060,nvidia}","{rtx}",0.000201269546369407,0.5,0.000402539092738814,33.6757038581856,26
"600","{nvidia,rx}","{amd}",0.00020901068276823,0.54,0.000387056819941167,13.7642462509866,27
"606","{card,minecraft}","{rtx}",0.000170305000774114,0.611111111111111,0.00027868091035764,41.1591936044491,22
"607","{look,minecraft}","{rtx}",0.000224492955565877,0.508771929824561,0.000441244774732931,34.266505680259,29
"613","{nvidia,vs}","{amd}",0.000201269546369407,0.65,0.000309645455952934,16.5680741910024,26
"625","{compete,nvidia}","{amd}",0.000270939773958817,0.603448275862069,0.000448985911131754,15.3815012383311,35
"627","{2080,gtx}","{rtx}",0.000170305000774114,0.785714285714286,0.000216751819167054,52.9189632057202,22
"653","{nvidia,scalper}","{card}",0.00020901068276823,0.551020408163265,0.000379315683542344,22.6546200911937,27
"691","{nvidia,red}","{intel}",0.000170305000774114,0.536585365853659,0.000317386592351757,15.0752713268759,22
"692","{nvidia,red}","{amd}",0.000224492955565877,0.707317073170732,0.000317386592351757,18.029048838239,29
"704","{beat,nvidia}","{amd}",0.000224492955565877,0.630434782608696,0.000356092274345874,16.0693696166913,29
"711","{competition,nvidia}","{amd}",0.000301904319554111,0.6,0.000503173865923518,15.2936069455406,39
"719","{title,wtf}","{nvidia}",0.000247716364762347,0.8,0.000309645455952934,25.279843444227,32
"750","{crypto,nvidia}","{miner}",0.000286422046756464,0.513888888888889,0.000557361820715281,96.0697057404727,37
"804","{amd,ti}","{nvidia}",0.00018578727357176,0.615384615384615,0.000301904319554111,19.4460334186362,24
"836","{graphic,trace}","{ray}",0.00025545750116117,0.942857142857143,0.000270939773958817,204.70300120048,33
"837","{graphic,ray}","{trace}",0.00025545750116117,0.846153846153846,0.000301904319554111,200.930429864253,33
"844","{rtx,trace}","{ray}",0.000681220003096455,0.916666666666667,0.000743149094287041,199.016806722689,88
"845","{ray,rtx}","{trace}",0.000681220003096455,0.926315789473684,0.000735407957888218,219.965944272446,88
"858","{gpu,trace}","{ray}",0.000286422046756464,0.925,0.000309645455952934,200.826050420168,37
"859","{gpu,ray}","{trace}",0.000286422046756464,0.948717948717949,0.000301904319554111,225.285633484163,37
"876","{nvidia,trace}","{ray}",0.000712184548691748,0.958333333333333,0.000743149094287041,208.063025210084,92
"877","{nvidia,ray}","{trace}",0.000712184548691748,0.910891089108911,0.000781854776281158,216.303145020384,92
"912","{amd,trace}","{nvidia}",0.000239975228363524,0.508196721311475,0.000472209320328224,16.0589169420295,31
"918","{graphic,mining}","{card}",0.000193528409970584,0.961538461538462,0.000201269546369407,39.5326347745189,25
"920","{mining,sell}","{nvidia}",0.00020901068276823,0.509433962264151,0.000410280229137637,16.0980135140125,27
"924","{amd,mining}","{nvidia}",0.000239975228363524,0.563636363636364,0.000425762501935284,17.8107987902508,31
"947","{expensive,graphic}","{card}",0.000170305000774114,0.846153846153846,0.000201269546369407,34.7887186015767,22
"948","{expensive,nvidia}","{card}",0.000170305000774114,0.536585365853659,0.000317386592351757,22.0611386253901,22
"953","{nvidia,win}","{amd}",0.0002322340919647,0.612244897959184,0.000379315683542344,15.6057213730007,30
"955","{nvidia,team}","{amd}",0.0002322340919647,0.576923076923077,0.000402539092738814,14.7053912937891,30
"1002","{amd,ray}","{nvidia}",0.000247716364762347,0.542372881355932,0.000456727047530577,17.1388769113403,32
"1024","{graphic,miner}","{card}",0.00025545750116117,1,0.00025545750116117,41.1139401654997,33
"1026","{miner,new}","{gpu}",0.000201269546369407,0.553191489361702,0.000363833410744697,27.9036613025165,26
"1028","{amd,miner}","{nvidia}",0.00025545750116117,0.647058823529412,0.000394797956339991,20.4469321975365,33
"1035","{30,rtx}","{series}",0.000216751819167054,0.651162790697674,0.000332868865149404,66.0260669562995,28
"1037","{30,nvidia}","{series}",0.000239975228363524,0.75609756097561,0.000317386592351757,76.6661561435081,31
"1042","{cpus,gpus}","{nvidia}",0.000379315683542344,0.505154639175258,0.000750890230685865,15.9627877418444,49
"1047","{cpus,start}","{nvidia}",0.000170305000774114,0.564102564102564,0.000301904319554111,17.8255306337498,22
"1048","{cpus,make}","{nvidia}",0.000441244774732931,0.612903225806452,0.000719925685090571,19.367621993561,57
"1097","{nvidia,processor}","{amd}",0.000193528409970584,0.555555555555556,0.000348351137947051,14.1607471717969,25
"1137","{future,graphic}","{card}",0.000170305000774114,0.758620689655172,0.000224492955565877,31.1898856427929,22
"1152","{drop,gpu}","{price}",0.000224492955565877,0.547169811320755,0.000410280229137637,33.6747957248285,29
"1153","{drop,nvidia}","{price}",0.000278680910357641,0.521739130434783,0.000534138411518811,32.1097002713507,36
"1172","{gen,graphic}","{card}",0.00018578727357176,0.6,0.000309645455952934,24.6683640992998,24
"1182","{graphic,stock}","{card}",0.00020901068276823,1,0.00020901068276823,41.1139401654997,27
"1188","{arm,gpu}","{nvidia}",0.000193528409970584,0.641025641025641,0.000301904319554111,20.2562848110793,25
"1189","{arm,buy}","{nvidia}",0.000549620684316458,0.612068965517241,0.000897971822263508,19.3412595316823,71
"1201","{graphic,hardware}","{card}",0.000178046137172937,0.884615384615385,0.000201269546369407,36.3700239925574,23
"1208","{gpus,make}","{nvidia}",0.000348351137947051,0.548780487804878,0.000634773184703514,17.3413560211923,45
"1219","{amd,super}","{nvidia}",0.000317386592351757,0.525641025641026,0.000603808639108221,16.6101535450851,41
"1243","{100,graphic}","{card}",0.000178046137172937,0.851851851851852,0.00020901068276823,35.0229860669071,23
"1248","{chip,graphic}","{card}",0.0002322340919647,0.731707317073171,0.000317386592351757,30.0833708528046,30
"1293","{able,graphic}","{card}",0.000170305000774114,0.647058823529412,0.000263198637559994,26.6031377541469,22
"1294","{graphic,power}","{card}",0.000178046137172937,0.657142857142857,0.000270939773958817,27.0177321087569,23
"1295","{graphic,series}","{card}",0.000178046137172937,0.71875,0.000247716364762347,29.5506444939529,23
"1296","{graphic,market}","{card}",0.000216751819167054,0.717948717948718,0.000301904319554111,29.5177006316408,28
"1297","{graphic,performance}","{card}",0.000216751819167054,0.666666666666667,0.000325127728750581,27.4092934436665,28
"1298","{graphic,support}","{card}",0.000170305000774114,0.611111111111111,0.00027868091035764,25.1251856566943,22
"1299","{graphic,release}","{card}",0.000263198637559994,0.772727272727273,0.000340610001548227,31.7698628551588,34
"1300","{cpu,graphic}","{card}",0.000325127728750581,0.608695652173913,0.000534138411518811,25.0258766224781,42
"1301","{graphic,rtx}","{card}",0.000418021365536461,0.692307692307692,0.000603808639108221,28.4634970376536,54
"1302","{gaming,graphic}","{card}",0.00020901068276823,0.642857142857143,0.000325127728750581,26.4303901063927,27
"1303","{graphic,high}","{card}",0.000193528409970584,0.543478260869565,0.000356092274345874,22.3445326986411,25
"1304","{end,graphic}","{card}",0.000224492955565877,0.659090909090909,0.000340610001548227,27.0978241999884,29
